manuf,model,volt,chuck,brush,no bateries,low max rpm,hi max rpm,price ,torque nm,torque in lb,uwo,source ,,
Hyper Tough,8v max cordless drill 3/8,8,0.375,brushed,1,550,550,20,10,,,https://www.walmart.com/ip/Hyper-Tough-8V-Max-Cordless-Drill-3-8-inch-Chuck-Non-removable-1-5Ah-Battery-with-Charger-Bit-Holder-LED-Light/633860434?wmlspartner=wlpa&selectedSellerId=0&wl13=446&adid=22222222277633860434_117755028669_12420145346&wmlspartner=wmtlabs&wl0=&wl1=g&wl2=c&wl3=501107745824&wl4=pla-293946777986&wl5=9027906&wl6=&wl7=&wl8=&wl9=pla&wl10=8175035&wl11=local&wl12=633860434&wl13=446&veh=sem_LIA&gclid=Cj0KCQjwguGYBhDRARIsAHgRm4-eMcOYIw9SUaxQT8DrJVJR1AVdNWHs2BzXIaHKm9SAu1qJLUb6KQIaAoh3EALw_wcB&gclsrc=aw.ds,,
Bauer,1791c-b,20,0.375,brushed,0,450,1700,50,,450,,https://www.ebay.com/itm/384788694924,,
hitachi,dos18-02,18,0.500,brushed,2,1800,1800,250,,593,,https://www.zxzxsell.com/?category_id=5927561,,
makita,18v lxt sub compact brushless 1/2 drill,18,0.500,brushless,1,500,1700,169,,350,,https://www.homedepot.com/p/Makita-18V-LXT-Sub-Compact-Lithium-Ion-Brushless-Cordless-1-2-in-Driver-Drill-Kit-1-5Ah-XFD15SY1B/316360453,,
Ridgid,r86008k,18,0.500,brushless,2,1650,1650,159,,535,,https://www.zxzxsell.com/?category_id=5927561,,
milwuakee,2603-22ct,18,0.500,brushless,2,1850,1850,229,,650,,https://www.zxzxsell.com/?category_id=5927561,,
Genesis,8 volt cordless 1/4 inch drill,8,0.250,brushed,2,400,400,59,,46,,https://www.homedepot.com/p/GENESIS-8-Volt-Lithium-Ion-Cordless-Pocket-Light-Soldering-Iron-and-Screwdriver-3-Tool-Combo-Kit-with-2-2-2-Ah-Batteries-GL0831CK2/318851123,,
dewalt ,20v max xr 1/2 brushless,20,0.500,brushless,2,550,2000,229,,,340,https://www.homedepot.com/b/Tools-Power-Tools/DEWALT/Sub-Compact/N-5yc1vZc298Z4j2Z1z1aabc,,
Craftsman ,CMCD700,20,0.500,brushed,0,350,1500,42.5,,,800,https://www.amazon.com/CRAFTSMAN-CMCD700-20-Volt-Cordless-included/dp/B07T4F661X/ref=asc_df_B07T4F661X/?tag=hyprod-20&linkCode=df0&hvadid=416926799262&hvpos=&hvnetw=g&hvrand=7791065741161689246&hvpone=&hvptwo=&hvqmt=&hvdev=c&hvdvcmdl=&hvlocint=&hvlocphy=9027906&hvtargid=pla-871176953989&psc=1&tag=&ref=&adgrpid=96633974329&hvpone=&hvptwo=&hvadid=416926799262&hvpos=&hvnetw=g&hvrand=7791065741161689246&hvqmt=&hvdev=c&hvdvcmdl=&hvlocint=&hvlocphy=9027906&hvtargid=pla-871176953989,,
ryobi,Ryoby one 18v 1/2 drill,18,0.500,brushed,0,450,450,29.9,,500,,https://www.amazon.com/RYOBI-Cordless-Drill-Driver-P215BN/dp/B09SN6Y6TS/ref=asc_df_B09SN6Y6TS/?tag=hyprod-20&linkCode=df0&hvadid=563689353499&hvpos=&hvnetw=g&hvrand=13008377362207854580&hvpone=&hvptwo=&hvqmt=&hvdev=c&hvdvcmdl=&hvlocint=&hvlocphy=9027902&hvtargid=pla-1675785447524&psc=1,,
